ar-qwen_range_ratio_high,ar-qwen_range_ratio_low,ar-qwen_ratio,ar-sdar_range_ratio_high,ar-sdar_range_ratio_low,ar-sdar_ratio,block,flash,max_s,median_s,min_s,model,output_tokens,repeats,steps
0.45958494338297334,0.4519820377759678,0.4553133962586295,0.4645314156257145,0.4502332944225068,0.45736492987671995,32,auto,4.22415,4.22415,4.22415,sdar,96,1,2
0.45134104953048937,0.4469737719434186,0.44816026358488986,0.45256288297793734,0.44625077590985524,0.4469956167489534,32,auto,9.6766,9.6766,9.6766,sdar,224,1,2
0.4768940765027396,0.4740154188674695,0.47628854231013856,0.4766734451612515,0.4753698837634569,0.4760707563419194,32,auto,22.80735,22.80735,22.80735,sdar,480,1,2
0.7899333064502759,0.7625165992697686,0.7809005914428176,0.7880350570693213,0.7705939987752602,0.77118075448922,32,auto,2.5250700000000004,2.51708,2.51676,sdar,32,3,4
0.7606473809503782,0.7454730614114252,0.7511176408118666,0.7605731901872941,0.752314942757444,0.7577985562499222,32,auto,4.702100000000001,4.69633,4.69591,sdar,64,3,4
0.7531703054259997,0.7346715692421737,0.7427337839166254,0.7612766110469436,0.7318290845496165,0.7460803652812795,32,auto,6.922560000000001,6.890680000000001,6.86612,sdar,96,3,4
0.7427458164804176,0.7331661365841469,0.736828715695444,0.7447565169971817,0.7319802141834015,0.7349138979347228,32,auto,15.92422,15.90948,15.87242,sdar,224,3,4
0.7900228105640068,0.7820188739913351,0.7878458425479649,0.7896573126450996,0.7842534365617922,0.7874855950207107,32,auto,37.78266000000001,37.72645,37.627,sdar,480,3,4
0.3460962996457057,0.3403708346690441,0.3428795566370781,0.34982130361757496,0.3390539211966231,0.34442449017774945,64,auto,3.1810500000000004,3.1810500000000004,3.1810500000000004,sdar,96,1,1
0.3091251947383688,0.30613402977346216,0.30694666239375407,0.30996203309546727,0.30563884705098915,0.30614899136353246,64,auto,6.62754,6.62754,6.62754,sdar,224,1,1
0.3098130882843119,0.3079429752843004,0.3094197044544115,0.30966975566466604,0.30882290014198766,0.30927822032465724,64,auto,14.81674,14.81674,14.81674,sdar,480,1,1
0.4386029810162472,0.4313471796423562,0.4345264477675776,0.44332362624716043,0.42967827368948824,0.4364843203513183,64,auto,4.0313,4.0313,4.0313,sdar,96,1,2
0.42864153228527896,0.4244939003364798,0.4256207191706474,0.42980191546260416,0.4238072662977963,0.4245146464904728,64,auto,9.18993,9.18993,9.18993,sdar,224,1,2
0.45156264313319977,0.4488368926688812,0.4509892734186425,0.4513537311826656,0.4501194117409328,0.45078305570218946,64,auto,21.59588,21.59588,21.59588,sdar,480,1,2
0.7035153518115316,0.6918771097631073,0.6969766280756275,0.7110872255427781,0.6892001991870509,0.7001170386044412,64,auto,6.46617,6.46617,6.46617,sdar,96,1,4
0.7090699140187045,0.7022087939269657,0.7040728067994423,0.7109894498961264,0.7010729461331788,0.7022431127517179,64,auto,15.202219999999999,15.202219999999999,15.202219999999999,sdar,224,1,4
0.7540968674998988,0.7495449411658979,0.7531393562614427,0.753747990439591,0.7516867118137806,0.7527949784959986,64,auto,36.06451,36.06451,36.06451,sdar,480,1,4
